zip_code,offense_type,latitude,longitude
78745,FAMILY DISTURBANCE,30.19689456,-97.78088537
78745,CRIMINAL MISCHIEF,30.21466002,-97.82943058
78744,BURGLARY OF VEHICLE,30.21583173,-97.74110718
78745,ASSAULT W/INJURY-FAM/DATE VIOL,30.18703535,-97.78036385
78744,CRIMINAL MISCHIEF,30.18988758,-97.76977441
78753,FAMILY DISTURBANCE,30.34957143,-97.7103517
78753,ASSAULT W/INJURY-FAM/DATE VIOL,30.36889444,-97.68313808
78704,FAMILY DISTURBANCE,30.24184309,-97.7575428
78758,ASSAULT W/INJURY-FAM/DATE VIOL,30.38180979,-97.69285199
78741,BURGLARY OF VEHICLE,30.22645832,-97.69380842
78744,FAMILY DISTURBANCE,30.19079383,-97.75041257
78745,BURGLARY OF VEHICLE,30.22983602,-97.79117297
78741,BURGLARY OF VEHICLE,30.23797717,-97.73038294
78753,BURGLARY OF VEHICLE,30.38290324,-97.66673274
78723,FAMILY DISTURBANCE,30.28573937,-97.70249018
78753,FAMILY DISTURBANCE,30.37632545,-97.68510994
78741,THEFT,30.23101906,-97.70172565
78745,FAMILY DISTURBANCE,30.19084138,-97.77786348
78752,FAMILY DISTURBANCE,30.33568092,-97.70666761
78741,FAMILY DISTURBANCE,30.22899132,-97.72063244
78702,CRIMINAL MISCHIEF,30.26265318,-97.71539669
78701,CRIMINAL MISCHIEF,30.25907724,-97.73835565
78758,BURGLARY OF VEHICLE,30.3991689,-97.72357206
78759,CRIMINAL MISCHIEF,30.42903475,-97.75950979
78753,FAMILY DISTURBANCE,30.41357997,-97.67568979
78741,THEFT,30.23581427,-97.72262391
78753,BURGLARY OF VEHICLE,30.41525806,-97.67013449
78741,CRIMINAL MISCHIEF,30.24708096,-97.73201607
78745,FAMILY DISTURBANCE,30.20169162,-97.81047129
78741,BURGLARY OF VEHICLE,30.23334836,-97.73227827
78745,ASSAULT W/INJURY-FAM/DATE VIOL,30.1980552,-97.78627207
78745,THEFT,30.22410692,-97.76675373
78753,BURGLARY OF VEHICLE,30.39438783,-97.67065387
78758,FAMILY DISTURBANCE,30.35850639,-97.69996937
78702,ASSAULT W/INJURY-FAM/DATE VIOL,30.27270295,-97.72483619
78741,FAMILY DISTURBANCE,30.22900387,-97.70310447
78753,BURGLARY OF VEHICLE,30.35722739,-97.69889427
78702,FAMILY DISTURBANCE,30.27676331,-97.71503304
78758,ASSAULT W/INJURY-FAM/DATE VIOL,30.40536947,-97.71135613
78704,CRIMINAL MISCHIEF,30.23457451,-97.778442
78745,BURGLARY OF VEHICLE,30.20543262,-97.83406472
78702,CRIMINAL MISCHIEF,30.25436282,-97.72034192
78758,FAMILY DISTURBANCE,30.36303568,-97.70973814
78744,FAMILY DISTURBANCE,30.19051809,-97.74874198
78723,ASSAULT W/INJURY-FAM/DATE VIOL,30.29962687,-97.67401315
78741,THEFT,30.23146495,-97.72122433
78744,FAMILY DISTURBANCE,30.20524259,-97.75566571
78741,FAMILY DISTURBANCE,30.22321317,-97.72145699
78723,THEFT,30.3222238,-97.68050777
78702,CRIMINAL MISCHIEF,30.27070373,-97.7088221
78744,ASSAULT W/INJURY-FAM/DATE VIOL,30.18567889,-97.7582264
78748,THEFT,30.17590754,-97.82319216
78723,ASSAULT W/INJURY-FAM/DATE VIOL,30.29930398,-97.67369558
78741,THEFT,30.23433705,-97.71398825
78704,CRIMINAL MISCHIEF,30.25945241,-97.75544138
78704,BURGLARY OF VEHICLE,30.24447955,-97.76900303
78744,ASSAULT W/INJURY-FAM/DATE VIOL,30.18811395,-97.77212623
78741,FAMILY DISTURBANCE,30.2254476,-97.73056543
78741,CRIMINAL MISCHIEF,30.22935836,-97.72771402
78744,ASSAULT W/INJURY-FAM/DATE VIOL,30.18875113,-97.76892127
78704,THEFT,30.2371328,-97.75253708
78758,CRIMINAL MISCHIEF,30.3548519,-97.70604089
78758,ASSAULT W/INJURY-FAM/DATE VIOL,30.36926216,-97.69510501
78753,FAMILY DISTURBANCE,30.35653224,-97.68237725
78745,CRIMINAL MISCHIEF,30.19835668,-97.78926252
78752,FAMILY DISTURBANCE,30.33561314,-97.71586149
